ID,Level,Subsystem,Title,Parents,Handbook Ref,Document
L0-ELG-01,L0,Program,Team 75 percent or more full-time students,External,1.4.1,L0_Competition_Requirements.md
L0-ELG-02,L0,Program,Exactly one aircraft design entered,External,"1.4, 5.1.2",L0_Competition_Requirements.md
L0-ELG-03,L0,Program,Design locked at Proof of Flight Readiness Video; 5 percent size/weight change limit,External,5.3.4,L0_Competition_Requirements.md
L0-ELG-04,L0,Program,Minimum 2 and maximum 4 operators; maximum 8 on flight line,External,"1.4.1, 3.3",L0_Competition_Requirements.md
L0-ELG-05,L0,Program,Team lead designated and sole speaker during mission,External,5.1.6,L0_Competition_Requirements.md
L0-ELG-06,L0,Program,Representative present at team orientation,External,5.1.7,L0_Competition_Requirements.md
L0-DOC-01,L0,Program,Technical Design Report max 10 pages (150 pts),External,"2.3, 4.1.1",L0_Competition_Requirements.md
L0-DOC-02,L0,Program,Team website (100 pts),External,"2.4, 4.1.1",L0_Competition_Requirements.md
L0-DOC-03,L0,Program,Proof of Flight Readiness Video determines flight order and invitation,External,"2.1, 3.0.7",L0_Competition_Requirements.md
L0-DOC-04,L0,Program,Proof of Pilot Competence Video,External,2.2,L0_Competition_Requirements.md
L0-REG-01,L0,Regulatory,FAA registration via FAADroneZone and external marking,External,5.3.3,L0_Competition_Requirements.md
L0-REG-02,L0,Regulatory,Remote ID broadcast of unique ID and position,External,5.3.3,L0_Competition_Requirements.md
L0-REG-03,L0,Regulatory,Safety Pilot holds FAA TRUST certificate,External,5.3.3,L0_Competition_Requirements.md
L0-REG-04,L0,Regulatory,All RF comms FCC compliant; judges use 462 MHz,External,5.3.12,L0_Competition_Requirements.md
L0-REG-05,L0,Regulatory,No spectrum management provided; prevent invalid autopilot connections,External,5.3.12,L0_Competition_Requirements.md
L0-VEH-01,L0,Vehicle,Battery electric only; no fuels or exotic batteries,External,"5.1.4, 5.3.6",L0_Competition_Requirements.md
L0-VEH-02,L0,Vehicle,All-up weight 35 lb or less,External,"5.3.2, 3.4.1",L0_Competition_Requirements.md
L0-VEH-03,L0,Vehicle,Maximum weight points at 15 lb or less (50 pts),External,"3.4.1, 3.4.4",L0_Competition_Requirements.md
L0-VEH-04,L0,Vehicle,Heavier than air and free flying with no tethers,External,5.3.2,L0_Competition_Requirements.md
